grad-year,hometown,latitude,longitude,college
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Richmond
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Richmond
1933,"Richmond, VA",37.540972,-77.432889,Westhampton
1933,"Richmond, VA",37.540972,-77.432889,Richmond
1933,"Ridgewood, NJ",40.981515,-74.112613,Richmond
1933,"Rio De Janeiro, Brazil",-22.976734,-43.195084,Richmond
1933,"Roanoke, VA",37.271525,-79.940534,Westhampton
